,Response,Concrete
358,"List people I know. List how I could communicate with them more or see them more. Take action. Think of ways to meet more people (hard to do in social distancing), cannot currently act on this.",Low
1185,"- I would identify who of my family/friends I think I'd like to communicate with and how likely it is that they'd be available, and what means of communication is available to communicate.
- I would first write messages asking how they are going and what they are getting up to.
- If we established good, regular communication, I would see if they wanted to do phone calls or video chats.
I would try to communicate with these friends/family as often as I felt necessary. e.g. Once per day.
- I would find up-to-date programs on television and/or the internet that addressed the current situation such as talk shows, comedy shows and informative channels on the internet (preferably not news).
- I would find and carry out (guided) meditations that addressed feelings of isolation and promoted feelings of connectedness.
- I would arrange meet ups with friends and family in accordance with the current social distancing rules.",Medium
804,"If and when I feel the need to connect to other people, I first check the time because my closest friends live overseas, and if the time is appropriate, I would text message or video call.  If that option was not available, I would text or call my mother in law as she is often available and happy to chat.  If she was not available, there are other friends who I would reach out to extending down to more distant friends.  My husband returns from work in mid afternoon so I never feel lonely and I NEED time to myself often.",High
354,"I am feeling isolated and lonely. I would try to do something productive, putting the washing on, cleaning the kitchen having a cup of coffee.  Still distracted by my loneliness, I would call my sister's to see if they were home for a visit. Failing that, I would go for a run and or do some study. I might start messaging old friends who I haven't been in contact for awhile. I then realise I'm too busy and couldn't possibly be lonely because all I want to do it chill out on my own.",Medium
250,"I would list the people I would like to connect or reconnect with. I would then decide what means I would use to connect eg phone, text, email, Facetime, face to face. Next I would schedule these times into my diary on my phone and set alarms.  Finally I would connect. ",Low
1173,"I would make a plan of people I would like to be connected with, as well as how I will connect with them. I would start with family, then relatives, then friends, work colleagues, and lastly associates / acquaintances. I would then work out the best way(s) to communicate (i.e. through face to face, phone calls, Video Conferencing, test messaging, or mail / emails) with each of the above categories of people, together with the frequency (i.e. daily, every 2nd or 3rd day, weekly, fortnightly, monthly, quarterly, half-yearly, or yearly) of making contact with them.  My aim is have this plan well documented and being used in earnest within the next week.",Medium
512,"I have been feeling isolated and lonely living away from family who are all in NZ, the unknown of when I will be able to see them again, could it be a year or more before I get to go home again. In order to  feel connected to my family I ensure I provide updates and chat to them every couple of days via messanger and text and video calls once a week.  Send photos of what is happening with the cats I am fostering and love receiving updates from them, which does make me 1 feel even more isolated and lonely. This a catch 22 and also been new to Melbourne, no new friends close by to check in with. But by keeping in constant contact with my family, sending them wee gifts to know I am here does help to feeling more connected and closer to people.
",Medium
673,"I would reach out to people within my network who I feel like interacting with, I'd text them to ask how they were and whether they'd like to schedule a facetime session or phone call if they're free this week. I would initiate some one on one interaction with closer friends or family and also schedule in some group chat time with them or other friends. I would feel a little awkward initiating in case people are busy but I'd tell myself they will say no if they're too busy or don't feel like it. 

I'd also check out virtual events and activities to explore my interests and try something new. I might also make some new connections this way. 

I'd feel closer to the people I know and to society at large through being with them on a virtual platform.",Low
450,"I am happy with my own company but 1 it would be nice to interact with other people.
I could search for some old friends and renew our connection.",Low
390,"I would write a list of all the friends I have 
I would think about who might most need a call and start with them. 
I would rind or text some others. 
I would go into the garden and work on my vegetable patch. If there was something to pick I would do so and take some to my neighbours. I would bake something to share with my neighbours ",Medium
987,"I would begin with contacting my two daughters and organising a zoom meeting and include my brother from New Zealand ( my daughter's favourite uncle).  I would not tell daughters about their uncle joining in. I would let them know my wife and I will be having a glass of wine during the chat. Once everyone on line get brother to talk us through his 4 week total lock down. My youngest daughter loves to talk as much as my brother so I could just listen 3. Which is what I prefer, and my will share our lock down experience. This would make me happy and feel like on the path to normality",High
118,"I would think about ways I am connected to other people now and consider whether I want to seek new and additional connections or whether I want to increase the connections I already have. I imagine I decide to increase the time and quality of the connections I have now. I would contact a friend or friends and suggest a meeting (socially distanced) in a park with a takeaway coffee.  I would email a relative overseas a little more frequently.  I would text other members of my family a little more frequently.  I would arrange some video meetings with family and friends.  I would reach out to someone I hadn't had contact with recently, particularly since the COVID-19 restrictions started. I would check on my neighbours by text.  I would feel I had made an effort to strengthen my connections with other people and hopefully made them know they were thought about too.",Low
468,"I would tell my partner that Iâ€™m feeling alone and down. 
It would be good for me to open up about how Iâ€™m feeling to someone else, so that I can begin to process how I am feeling. 
If my partner were studying or working, he may suggest video calling my family or friends. 
So in that case, I would video chat my mum and have a long chat with her. 
If her were home, perhaps we would watch a movie together or play a board game. 
Then Iâ€™d probably feel a greater sense of connection. ",Medium
894,I was missing my friends and family especially as I live on an Island ðŸ˜” So I made some jam drops to share with my new neighbours as I walked my dog around the block and that led to many warm conversations,Medium
668,"I would send a message to friends through social media to talk. A lot of the time my friends and I would tag each other when we see something amusing like a ""meme"" or a joke. One of the best ways to feel connected is to play online games with other players. The team interaction makes me feel connected to others and we do something enjoyable. ",Low
1040,I would look at my contacts list and see who I would feel more comfortable with talking to right now and who I thought would be more likely to respond and then if I got a response I would ask if they wanted to meet for a walk somewhere. If they weren't able to meet I would ring or communicate via text to see how they were doing. Afterwards I know I would feel better having made a step in contacting friends and family.,Low
876,I would call the people I knew wouldn't mind hearing from me. I would arrange to meet up with one friend face to face. I would engage in intimate conversation with the friend.,Medium
443,"Talk to husband, call/FaceTime Mum and dad interstate, then brother and sister, then grandparents friends etc. ",Medium
300,I would maybe try and organize a zoom call or FaceTime chat with friends and loved ones to try and connect again with people. I could even express to them my feelings to try and understand things better,Low
422,"I could be more connected to other people but have no interest or motivation to do anything at this time. Iâ€™m looking forward to restrictions being lifted in the coming weeks and visiting friends again, that will be a good start in reconnecting. ",Medium
1165,"Well, during social distancing there were times where I felt lonely as this time highlighted the fact that I live alone and I do not have a partner. Everything on radio, TV from the PM's addresses spoke about families during the pandemic.
To feel less isolated and alone I knew I would need to 'see and talk to people'.
Initially I thought I would escape to Melbourne to be with my sister and her partner if we were going into a lockdown. I left my running to late. ( Probably a good thing as I would have out stayed my welcome by now!)
Fast forward until now and if I am feeling isolated I know I can, text and see if a friend wants to come for a walk either in a park or around the local streets. It's great if a friend can join me. 
I also would text to see if a friend would like to come over for lunch or afternoon tea. I would plan something to make and look forward to their company. Doing this makes me feel connected. 
If I'm not able to meet up with a friend I would call or text a friend to have a chat.
I have a few friends I 'see and chat' to each week on either through Zoom, Facetime or Messenger.

",Low
921,"â€¢ think of someone that I havenâ€™t chatted to in a while 
â€¢ send them a message via messenger or text 
â€¢ ask how they have been going
â€¢ suggest another catchup either by zoom, text or a visit ",Low
129,"I would contact my friends and family via text to organise a dedicated time to speak with them, either over the phone or via video (but preferably the latter). I would make sure to be comfortable and ready for the chat, possibly with a coffee. I may or may not discuss my feelings of loneliness with the other person but just by chatting, and hearing about how they are I would feel more connected and closer to them. I would then have to repeat this every few days. ",High
163,"I am feeling a little down and do not want to impose my negativity onto others so I put some music on and go for a run. Once I get back, I have a shower and attempt to call one of my friends. If they were not to answer, I would attempt to call my partner (if it is outside of work hours). If this fails I would wait for my Mother to get home from work (the hospital) to have a chat with her. In amongst this I have attempted to reach out to several people to see how they are and talk about how I feel and I would feel accomplished with this. ",Medium
76,"Feeling isolated and lonely. I would go for a swim whilst I make a plan of how to feel more connected.

Following the swim and shower, feeling energised and more positive I would make a coffee and sit to  list all those on my Christmas greeting list. 

Note those I speak with regularly and send off a catch up text message referring to what challenges they are encountering at this time and sharing any of my personal news they might be interested in.
Those I have not spoken with for sometime I would call to check on their health and if there is any way I can be of assistance to them (shopping, transport to medical appointment etc)
Those I have not had contact with since last Christmas I would send an email. Less intrusive and they can choose to reply or not.
 Feeling much more connected I would await the replies which may then effect my feeling of connectedness. A strategy is then needed to account for any lack of responses.",Medium
191,"I live alone so It starts on my morning walk on the beach every morning, I say hello to those that I pass on the beach each day. I then stop on my way home from the beach to get a take away coffee from my old cafe stop. I say hello and wave to the employees of my apartment complex on my way in from the beach. I text my old workmates who are still working. I call my mother on the phone every day. I talk to and text my partner every day, play a game of Words with Friends, together on our mobiles each day before bed. Listen to podcasts at home. Working on an online side project and engage with friends for advice. Try to keep thinking creatively ",High
783,This would be a hit hard as I am happy on my own and don't particularly want to feel more connected to other people.  I am quite connected enough now!,Low
375,"I'm feeling isolated and lonely and i reach for my phone and message people on social media or via text. i'd wait to see if they got back to me and if they didn't, i'd move on to the next person. After talking to someone i trusted, I feel more connected and closer to people. ",Low
427,"I would take the time to think about why Iâ€™m feeling isolated and lonely. After I have had time to myself, I would make the decision to contact someone. I would think about all the people I would really like to contact and who I would like to contact first. I would then send a message to them in the hopes that they respond. If they contact me back, I would continue the conversation or even call/FaceTime if we both felt comfortable. After our conversation, I may contact another person. Otherwise I would be feeling happy, connected and closer to people and make a plan to contact more people over the coming days.",Low
63,"Our tennis club has invited members to provide their contact details so other members can contact them about a tennis match in the restricted environment of maximum 10 people on the court.  I would provide my contact details then definitely say ""yes"" if someone asks me.  If no one asks me, then I will take it upon myself to organise a group of 4 players.",Medium
1048,"I will start looking into digital social platforms where I can find new faces. 
Randomly pick people from different parts of the world and become friends with them.
Try to stay connect with new friends as much as possible, learning new things from them that could be a new hobby, useful discussions, advises, etc. 
Renew the old friendships in social media and stay connect with old friends.
Having more face time with immediate family, and close relations.
Eventually, I'll be busy with connecting people and my original thoughts of loneliness will be faded away.",Medium
471,"Make a list of people I feel good connecting with, then I would start texting them checking on how they are and if situations allows maybe agreeing on a face to face catch up",High
903,"1.  Think of who I could contact that would make me feel good.
2.  Decide on how best to contact
3.  Decide on telephone as it is more personal
4. Consider a reason for calling to get conversation going
5.  Decide on asking how they are and how they are handling isolation.  Also think of something humorous to lighten the chat
6. Decide on relating how I missed an appointment because I forgot what day it was.
7. Make phone call
8. Begin as above and have a good chat.  Check on their family etc as well.  Arrange to catch up when travel is allowed.
9.  Complete call and relate pertinent info to my wife.
10 Feel good as I've cheered up a mate, arranged a catch up and everyone is well.
",Medium
951,I would consider who I would get nosy benefit from connecting with. Then I would consider what things we have in common. I would look for a way we could share that under current circumstances. I would contact them to see if they would like to do something with me. Then I would arrange a date and time we could Hopefully being able to share with someone would make us both feel more connected,Medium
314,"I talk to my husband about how I am feeling but he is in the middle of work, so I reach for my phone. I understand that he is busy and the only one working so I don't want to bother him too much during his working hours. I message a friend to see if they are available for a chat. They are busy, so I book in a time to talk to them later. I call them and we chat for a while about what's happening in their 'bubble' right now. I enjoy catching up with the latest stuff like what programs or movies they have been watching and other random things. We share our frustrations with  how much of a pain in the arse COVID is but also how I love the peace and quiet. They 1 feel the same. We end up laughing and carrying on like usual. I can talk for hours, so I try to keep it briefish (if that's possible ;-)",High
179,"Make a list of those people I can contact with whom I have an ongoing friendship. Phone at least one of these people on a daily basis.
Make a list of those people with whom I have lost connectivity but with whom I would like to renew a friendship. Re-establish contact via email and make a self-commitment to reply to emails from them within 3 days of receiving them.
Phone one friend and reply to one email today.
Arrange a zoom call with a group of friends on Friday night.
Meet at least one friend for a socially distanced coffee this week.
Phone a close family member daily.",High
65,"I am feeling isolated and lonely. 
I talk to my friends and organise a video chat if unsafe to see each other face to face or we organise a trip outside whilst still social distancing. 
I feel fewer isolated",Low
674,"I make some Video call with my parents in China everyday. Tell them what I am doing and think.
I chat with my friends on Wechat. I share the photos of what I have cooked with them. Ask them for opinions. 
I play games with my kids. 
I start to learn to play piano. 
If I am busy, I wonâ€™t be feel lonely or isolated.",Medium
455,"I would list those people I wished to remain in contact with and prepare a list (obtain email addresses or phone numbers) I would find a comfortable spot to sit, with a ""cuppa"" and consider would it be a convenient time for them. I may prepare some questions I would ask them-(Health; family; outside contact). After the contact (and not being upset if I am unable to contact all on the list) I believe I would feel that I am not alone in my thoughts/frustration in getting out and about.",High
1013,I feel very alone. I think about what I should do to make me feel better. Email someone.Mmm. Who would want am email from me. I know. my friend Dianne. I could tell her about the jigsaw I've just finished. What about texting. Yes. I should see how Carmel is doing these days with all the restrictions. I know I could phone someone too. Already I'm feeling better about everything.,Medium
985,"1 Make a list of 5 people I would like call or video chat checking I am able to video chat or call?
2 Write a few items I could talk about e.g. mostly funny or interesting
3 Check how I look, hair, makeup, clothes
4 Make the video chat or calls
5 I would feel so pleased & happy after completing these chats & calls",High
961,"I would like to feel more connected to other people. I would choose a couple of friends from my mobile phone who I can talk to anything about and whom I trust and love. Who accept me for who I am and will always put me first. These are generally my friends from high school. Friends who I have had from years as I am now 47yrs. I will send a couple a text as they all live in different cities. They will always answer because that is what we do for each other. If one is away, then they would have told me and I can text a different one. 1 I text multiple at the same time. We will chat til about 6pm, then we may crack a bottle of wine or beer together and talk more. It is like we are back in high school, with fun plans, disclosing secrets, talking about other people, our dreams and fears. Knowing that I can say anything and they won't judge me. In fact they will trash anyone who says anything wrong about me. Even if I am the person in the wrong. I will feel connected and closer to people during the conversation, after the conversation and always. As I know they will always be there and on my side.",High
908,"I would first acknowledge feeling lonely. I would turn to a quick solution like making tea or patting my dogs. If feelings still didn't dissipate, I would call a family member to just chat about our days to make myself feel connected to otger people. If feelings still persisted, I'd talk to a close friend or family member about my feelings of loneliness. Together we'd address what changes I could make to feel this less. I would then feel supported, heard, and less lonely ",Medium
255,With the isolation rules changing this weekend (up to 5 unrelated people allowed in our house) I intend to arrange some friends to visit to allow for face to face rather than Zoom interaction.  This is very important for me.  I will be contacting some friends this evening to try and setup up a face to face 500 card game on the weekend.,Medium
316,"Contact friends and family and make a time to visit over the next few weeks
Check on available activities/courses offered locally ,eg, U3A
Follow up by enrolling in at least one",Low
345,"Think about ways to connect to people, such as technology (eg video, phone, text) or proximity (eg neighbours, local friends).  Also think about the people I would like to connect with, such as family, relations, neighbours or groups where I have a common interest.  For the technology challenged, ring one of my kids or a neighbours kid who know stuff about mobile phone apps.  Once the research is done, dip the toe in the water and have a go.  Message a colleague or group member on Facebook if only to say hello.  Ring one of the kids or a friend and ask them how they feel or how are they managing under these unique circumstances.  Take an interest in their views and experiences as they will appreciate the contact and my interest in their well being.  One or two contacts will engender confidence for more connections with other people, using the means that I am comfortable with.",Medium
814,"I would reach out to friends via online chat or text to see how they are and, now the some restrictions are soon to be lifted, to see if we could arrange some form of catch up or the coming weekend or one soon. I would reach out to more than one friend so I am able to chat with a few different people to share my thoughts and feelings and to reconnect.",Low
219,"As in my experience its by giving to others that we gain 10 fold personally, and that its when we are outside our own problems & our concern is on other people  that we experience the most happiness and joy. I would do a compassion meditation in the morning to send thoughts and love to everyone from my close family to strangers & myself. If my heart hurt from lonliness I would physically place my hand on my heart and acknowledge how I felt and pause, after meditation I would then hug & kiss my husband or my dogs or both then i would make a coffee and call a couple of close girlfriends, then as the day goes on I would make some food (covid safe cookies) & call my neighbors to the fence and give it to them/ or make an anzac wreath for people to put on fence(done this), I may make a skirt for my daughter I would do this whilst listening to either a podcast ""the moth"" or a dharma talk by Tara Brach and then listen to Hauser cello. At night cook a meal with hubby and have some beer/wine..call family & text kids. Watch a movie whilst reading a good book and by then I would feel like i was connected. Do my gratitude journal before bed and be thankful that I am safe, healthy and live in Australia",High
384,"1. Feeling isolated and lonely
2. Decide who to contact - someone who is close to you, who you can explain how you feel, who will understand, and be able to provide some ideas and encouragement to achieve less isolation.
3. Decide how to contact them - phone call, Viber or Skype
4. Make the connection - or text to arrange a time.
5. Have the conversation, making sure that you cover all of the topics.
6. Put in place ideas and get back to person to see how they are going again and to report on progress.",Low
262,"I would watch the news and updates everyday and think that whats happening to the world is absolutely awful and a lot of people are suffering. I then focus on how I can do my part in all this and try to make sure my family and I are safe. I have noticed that most of people have come together and are trying to help each other, that for me is very encouraging. I would do my best to stick to my routine as much as possible, even though I do not have a job.  Having more time at hand means that I need to actually do things and be productive instead of feeling sorry for the world. My family and I have more time to talk and that makes me feel very appreciative to how things are. Even with this pandemic far from ending I know that we're going to make it and we'll be even stronger and united.",Low
261,"In this COVID-19 situation, I'm starting feel a little isolated as I don't see people around me any ore. 

First step I would take is to think about friends who may be vulnerable with this situation. 

Second step is to make a connection with those. They may need to be connected like I do. If they are not as close as some of my friends, I would email them just to say hello and to find out how they are going. 

Third step is to connect with my closer friends. I would call them up for a chat. I would use ZOOM, face-time, etc, so that you can visually see them and feel them.

As a result, I would feel connected more.",Medium
251,"I would make a list of things to enable me to feel connected and closer to people. I would then  prioritise them in order of what is achievable now. On the list would be making phone calls, sending letters and/or postcards; setting up a group on facebook; organising to have a walk and takeaway coffee once a week with different friends; In this way, I would feel connected and closer to people.",Medium
891,Message someone I'd like to connect. Chat or video call. Talk to the about common issues we are facing and look to.learn from anything exciting they are doing. Try to help as much as I can.,Medium
43,"I would make a mental list of all the people I know and think about whether I had any reason or excuse to get into contact with them again.
Then I would send them a text message or an email and hopefully receive a reply. 
Alternatively I would just give my parents a call or browse some online forums, often that is enough social contact for me. ",Medium
157,"To feel more connected, I would first think about what friends I could get into contact with in Australia and Canada. Most of my friends I would text or message. I would then think about how I could talk to, which is really my mum and my partner. I would think about now the restrictions allow to meet up with someone if there is  someone I could go for a walk with and contact them. To feel more connected to my community I would walk around the area where people are mostly likely to be and say hello. This usually makes me feel better and realise we are all in the same boat. ",Medium
931,"I would call one close friend to see if they had time to chat. 

I would then send texts to family and close friends to ask how they are. Depending on the responses, I would make a plan regarding calling each of them. 

I would send a message to groups on social media that I am part of to suggest a time for a video catch up in the next day or so and make them happen. ",High
840,I would text my mum to ask if she would like to video chat. I would wait for her reply yes. I would dial her number and press video chat. I would start talking to her on the phone and ask her about her day and her garden. I would ask her to take me around her garden and later show me her dog so I can talk to him also . I would show her all of my garden and new flowers and let her see my dogs too. I would feel happy and accomplished that she has seen my garden and we have connected.,Medium
637,"Some time ago I moved interstate to the Gold Coast into an apartment that I bought 13 years ago. Whilst it was part of my retirement plan I left behind my family, i.e. my two children, six grandchildren, my mother, inlaws and countless relatives. Yes the thought of moving to the Gold Coast was very exciting, friends and relatives all said that they would stay in contct. Once I settled in I was in a new city in a hugh apartment block no friends and knew nobody and did not hear from the friends I left behind.I started walking around the neighbourhood looking to connect with people, tourist were always willing to have a chat but nothing lasting. Each day I would use the elevators in the building, I started meeting other people who were permenant residents not just tourist. So I started to connect with them and exchanged phone numbers. Soon I started to invite these people to dinner. I soon found out that many had been here for many years and did not know others in the building. I then had an idea to start a social club with the building so other permenant residence could connect with each other. Soon we were playing cards, together, going out to dinner and going to shows. More importantly we started to look after each other. If we were lonely we could call on each other, if we were sick we could help each other, if we needed a helping hand there was always someone there. Now I have many friends that I can connect and enjoy life with.",Low
1128,"this is difficult as i always feel disconnected with others. 
go out with those that invite you
try to engage in conversation
try to change topic that is up my alley
",Medium
486,"I don't usually feel isolated and lonely as I have a good network of family and friends and a busy life, however if need be I would firstly reach out by phone to my immediate family (sister) for a good chat and to check on her wellbeing also. I would also contact my niece who organises our extended family zoom chats and ensure this is done on a regular basis so that we can see each other and get a more general sense of each others wellbeing and new normal during the pandemic. I would also ensure I connected to my good friends on our group chats (using viber and what's app). I would also set up a list of friends, colleagues and extended family to contact by phone or email to ensure we keep connected and add perspective to our lives at the moment. I also listen to the radio, read the papers, and watch news and current affairs. I have found that not going out as much has made relationships more precious and the importance of maintaining friendships and connections a more conscious exercise.",High
568,"Take my morning walk with my dog. Interact with other walkers and dog owners where possible.
Check emails for contact from children and other family members and friends.
Enjoy breakfast and coffee with partner.
Read news on internet. Check what is going on in the sports world.
Check televised news channels.
Watch favourite TV programmes. Maybe a movie.
Read book for at least 2 hours.
Play Scrabble.
All of the above give me the stimulation I need, 1 the challenges I need.",High
16,"Talk to my wife. If she is busy, call my parents.",High
739,"I would call a family member or video chat with a family member or friend.

I would talk to my husband about how I feel

I would organise to do something with my husband that can both enjoy, maybe a candlelit dinner or find a movie on Netflix

I could bake a cake or cookies and share it with my neighbours

If my neighbours were outside i could chat with them over the fence",Medium
675,"Becoming more confident. Not feeling so self conscious and inadequate. I become more engaged, feel less sorry for myself. Have a go at the things I would like to try, get fitter and just put myself out there and just maybe be pleasantly surprised. Getting involved with a worthy cause, might help me feel more worthy and more connected.",Low
1098,"if i start to feel isolated and lonely, i text my son's to see if they are able to have a conversation with me over the phone. i then plan to what time they will be available to call. once i get to that time i give them a call and end up feeling connected and closer to them",Low
31,"I would acknowledge the feeling. Then I would select which medium of technology to connect with people. I'd look through my contact list and start messaging my closest family members and friends, followed by people I haven't heard from in a while. If necessary, I would suggest a video call.",Low
643,"I would be lonely, sad, wanting to talk to get my feelings off my chest. I would want to talk to a good listener or two. I would pick my mark.
I would think about who, how do I want to connect with. Phone or video.
I would think about the how to and the time frame required. I would make the time allowance required and take action same day.
I will chat away till I felt like I had got my story across.
I would feel happy and content.",Low
40,"I would telephone people, using the contact lists in my mobile phone.
I would start with people I like, friends and family, and finish with those who I have a duty to speak to.  if I didn't get around to the last category, it wouldn't worry me, as duty comes after friendship.
I would expect to listen, share common experiences, and perhaps share unique experiences.  A couple over the weekend would suffice, and I am sure hearing the voices of people I like would be great.",Medium
767,"I start by sending a few greeting type text messages out to my friends. When I start to get replies, I take the opportunity to initiate conversation/s via SMS or a web-based chat programme (e.g. Signal). Some friends prefer to speak on the phone and they might call rather than reply via text. After an hour or two I've generally had enough social interaction for the week and I shut it down. ",Medium
387,"I would think about the people I would like to contact and then ring to have a conversation. As part of the conversation I would arrange to see them for a cup of coffee at home.
I would bake scones in preparation and when they arrive, have scones and coffee over a lovely catch up.
After they leave I would feel more connected and happier.",Low
304,"During COVID-19 I'm not interacting with as many people as usual and am feeling isolated and lonely. I know that my friends and family have their own lives and may not realise how I'm feeling so I've reached out to those closest to me to let them know what I'm doing and how much I'm missing them.  This is to hint to them that they should reach back out to me. Hopefully this will result in some messages, emails, phone calls or FaceTime calls.  In addition, I'll make a point of going out every day to do some exercise.  This could be in the form of a brisk walk combined with some grocery shopping. This means I'll see and interact with others even if it's shallow.  Online, I've subscribed to free online courses, read the news widely and check my Instagram and FaceBook accounts regularly. These strategies keep me connected and feeling less lonely.",Medium
846,I am feeling isolated and lonely so I will call my friends and try to make plans to meet for coffee or lunch or if we aren't allowed to meet in person I would just have a coffee and talk on the phone to them.  I would drive to meet them at a coffee shop or sit in our cars outside and have the windows down so we could talk this would make me feel better as I would be connected to my friend,Medium
923,I feel isolated and lonely. I would like to connect with people. I would ring one of my family members and talk to them as long as I need to.,Medium
89,"I'd first address my current immediate relationships. The people that i talk to the most, typically in my household and try to find appropriate boundaries with them and create discussions and time together in the hope to feel closer. I would also look inward and attempt to have more positive and healthy one on one time with myself, such as reading or meditating to feel more connected and comfortable with being alone at times, because 1 with the people you live with you can start to smother and rub eachother the wrong way, so alone time is important. I would make an effort to connect to those that i miss and create opportunities to facetime or call. I'd ensure that i keep myself occupied enough so i'm not sitting around for a reply, have something new to share and so i feel some sense of enjoyment with myself as well. ",Low
273,"i would msg the group chat i have with my close friends and see if anyone would be interested in catching up via zoom.
if agreed we would specify what days/times we are all available and select one which suits us the most
i would log into my zoom account and schedule a meeting at desired time and send the code to my friends.
leading up to the time i would think about things i want to talk to them about - share or ask them questions about specific things in life
i would then setup my laptop somewhere comfortable for the chat and likely pour a drink to have while being social.
would then log in and join the meeting and chat with friends.
it would be nice to hear about the details of whats being going on and feel connected to them again",Medium
415,"Send text or call friends and family. Keep connected through social media. 
Video message coffee break catch ups.
The problem for me is not the lack of contact but a feeling of disconnectedness within that contact and a lack of physical touch.
This too shall pass is my current mantra to try and get through this",Low
371,"I would get on my bike and ride for at least 40mins and people watch while listening to upbeat music and riding.  I would do my food shopping, interacting with other customers and staff. I would interact on social media and text/ call/ video call close family and friends. ",Low
330,To feel more connected with people people I would find groups of people who have the same interests as me and join the group and set up a zoom meeting or a FaceTime meeting or a group chat just to chat and keep checking in on each other and once restrictions ease more organise meeting in person at allowed numbers at safe distances and remind people not to go out if not well,High
645,I message my family and some of my close friends and organise one on one and group video chats. When I do these I feel more connected and closer to people.,Medium
1091,"I would consider what options I have to connect with people either directly to the person or indirectly connect with people through the media, technology, news papers etc. I would then make a time in my diary to dedicate to that task, when I would not be distracted by other routines and can be completely absorbed in the process of connecting. I may also reach out to my friends and family via text to confirm a time with them when they would be available to a more in depth phone call or video chat to ensure I am not disappointed or feel lonely if I am unable to connect to them at a time that suits me, but is not suitable for them. I would make sure that I take the time i have mindfully set aside to connect with other people. While i have the persons attention, I may also arrange a recurring time with the person to connect at a later date.",Medium
910,"I grab the telephone book and go through the list
I find people I know who live on their own
I ring a few of them to catch up and see how they are faring
I discover the feeling of isolation is widespread
I feel a  common link starting to surface
A problem shared is a problem halved
By ringing them I made their day
I feel better because I have done something to alleviate their feelings of isolation by calling them",Medium
973,"I would tell my partner that I am feeling lonely and disconnected. Together we will come up with a plan to go out somewhere this weekend, so we can experience nature and share a takeaway meal together. We will get in the car and drive to a coastal town and buy some fish and chips to enjoy by the sea and then drive home. And I will feel happy that I managed to do something and in that act Iâ€™ll feel fulfilled. ",Medium
565,"If I had been lonely for a while I would like to start by taking it slow and simple. Maybe starting with a walk around my neighbourhood. I would enjoy being outside, even just passing others walking outside or saying hello to strangers I might not have previously engaged with. Being outside and exercising would help me feel more confident. I would then probably reach out to my family by either messaging or calling to see how they are doing. Sharing our experiences over the phone together and maybe look to set up a regular chat either over the phone or via FaceTime. Having a regular time would mean I have something to look forward to.",Low
607,"contacting friends, relatives by phone or email more often.  Skype family members more often.
",Low
792,I would like to be able to connect with more people daily.  I would start by making phone calls to chat about day to day small talk.  And build up to planning an outing with my family and friends where we can still practice safe distancing and chat about meaningful and memorable memories.  I would feel as though we are more self gratified and able to more open with our needs and wants.,Medium
1002,"Contacting people to go for light exercise or coffee.
Making an effort to get out of comfort zone.",Medium
253,"I would think about who I am missing at the moment and how I could possibly connect with them. I would decide on an activity whether it was a walk, a zoom catch up or texting and then decide who might be interested in that activity. I would send them a text and invite them to make plans together. I would clear that time with my family and make sure I showed up. I would tell my friend to hold me accountable and not let me back out as I 1 do. ",Medium
1229,"I go out to the shop and talk the people there and ask question about how they are coping with the current situation also find out if there is group available for social connection or  interaction
then join a group and participate in activity or outing.
and feeling good about my action and meeting new people also may be helping other not as fortunate as me.",Medium
614,"I feel isolated and lonely and would like to feel more connected to other people: I would therefore
1. reach out to a friend or relative with a text message or phone call
2. plan an activity for the next few days that might connect with other people (catch up)
3. review my diary and identify other opportunities to connect with others
4. think about what I enjoy doing and research how I would go about increasing my time doing that activity and who I need to speak to/meet to achieve that",Low
433,"To feel more connected with people during isolation, i would generally think of the people that I miss most and who I miss spending time with. I would start by texting/messaging those people as I understand a lot of people are still working and its always fun to just share some funny stories about things I've read or jokes. When there is time in the day to make a quick  phone call to catch up i would. Also begin interacting more with friends and family on social media is a great way to stay connected and is enjoyable. Having those virtual connections makes me feel closer to those I miss ",High
25,"I would list all the people I normally talk to regularly, including friends and family, and all the people that make me feel good when we talk, even if they are not people I regularly talk to. I would message all these people and try to plan video calls, Zoom chats and plan for virtual catch ups. I would feel happy and grateful for my friends during this time. ",High
544,I'd sit down and think of family and friends I could contact and have chat too about my problem . Then contact these people and try to solve my problem,High
401,"I sit at home, feeling isolated and lonely thinking about my friends and the distance we currently have. I would then consider reaching out to them via social media or video chat platforms. I would start by messaging a close friend or family member with a small conversation as this is simple. Then after a conversation, I would ask about organising a video chat to try and maintain so face-to-face relationship. I would feel connected and closer to people after connecting with them.",Low
594,"Focus on writing a novel most days, provides me with mental stimulation and personal objective and keeping busy. 
Otherwise would need another focus like serious gardening or maintenance work, increase exercise program, entertain more often. However happy with current focus of writing.",High
