"Participant","Duration.x","Date.x","Image_Action.x","Image_People.x","Image_Emotion.x","Image_Vivid.x","Rater2.x","Q1","Q2","Q3","Q4","Q1.new","Q2.new","Q3.new","Q4.new","Steps","Effective","Concrete","Emotion"
192,1031,"11/05/2020 21:25","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","JL",2,4,4,7,1,2,2,3.5,1,2,2,3.5
193,1227,"11/05/2020 21:29","Sometimes","Sometimes","About half the time","Moderately clear and lively","LL",2,3,3,3,1,1.5,1.5,1.5,1,1.5,1.5,1.5
194,1506,"11/05/2020 21:33","Most of the time","About half the time","All/almost all of the time","Perfectly clear and lively as real seeing","",1,2,1,1,1,2,1,1,1,2,1,1
195,2949,"11/05/2020 21:56","Most of the time","Most of the time","Sometimes","Clear and lively","",5,4,5,2,5,4,5,2,5,4,5,2
196,932,"11/05/2020 21:59","Sometimes","Most of the time","About half the time","Moderately clear and lively","",1,2,2,5,1,2,2,5,1,2,2,5
197,1856,"11/05/2020 22:08","Not at all","About half the time","Sometimes","Dim & vague, flat","",3,0,0,0,3,0,0,0,3,0,0,0
198,842,"11/05/2020 22:43","Most of the time","Most of the time","Most of the time","Clear and lively","",5,3,3.5,1,5,3,3.5,1,5,3,3.5,1
199,1168,"11/05/2020 22:55","Sometimes","Most of the time","Most of the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
200,1261,"11/05/2020 22:57","","","","","",0,0,0,0,0,0,0,0,0,0,0,0
201,2524,"11/05/2020 22:59","All/almost all of the time","All/almost all of the time","All/almost all of the time","Perfectly clear and lively as real seeing","",0,0,0,0,0,0,0,0,0,0,0,0
202,769,"11/05/2020 23:05","Not at all","Not at all","About half the time","Moderately clear and lively","",3,2,3,3,3,2,3,3,3,2,3,3
203,1633,"11/05/2020 23:26","Sometimes","Most of the time","Most of the time","Perfectly clear and lively as real seeing","JL",4,8,9,7,2,4,4.5,3.5,2,4,4.5,3.5
204,1463,"11/05/2020 23:35","Sometimes","Sometimes","Sometimes","Moderately clear and lively","",2,3,2,4,2,3,2,4,2,3,2,4
205,6997,"12/05/2020 0:07","About half the time","About half the time","About half the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
206,2007,"12/05/2020 0:10","Most of the time","Most of the time","About half the time","Clear and lively","",2,3,4,4,2,3,4,4,2,3,4,4
207,2087,"12/05/2020 0:19","About half the time","About half the time","Most of the time","Moderately clear and lively","",2,4,3,3,2,4,3,3,2,4,3,3
208,1314,"12/05/2020 0:49","Sometimes","Most of the time","About half the time","Clear and lively","",3,3,3,4,3,3,3,4,3,3,3,4
209,1423,"12/05/2020 0:55","Not at all","Sometimes","Sometimes","No image at all, you only “know” that you are thinking of the object","",5,5,3,4,5,5,3,4,5,5,3,4
210,908,"12/05/2020 1:37","Most of the time","All/almost all of the time","All/almost all of the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
211,931,"12/05/2020 1:37","Most of the time","All/almost all of the time","Most of the time","Perfectly clear and lively as real seeing","",2,3,4,4,2,3,4,4,2,3,4,4
212,1246,"12/05/2020 2:03","Sometimes","Sometimes","Not at all","Moderately clear and lively","KH",5,5,5,5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
213,1616,"12/05/2020 2:12","Most of the time","Most of the time","Most of the time","Perfectly clear and lively as real seeing","",2,1,3,2,2,1,3,2,2,1,3,2
214,830,"12/05/2020 2:49","Not at all","Most of the time","Sometimes","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
215,1873,"12/05/2020 2:50","Most of the time","All/almost all of the time","Most of the time","Clear and lively","",4,5,5,3,4,5,5,3,4,5,5,3
216,171850,"12/05/2020 3:11","Sometimes","Sometimes","Sometimes","Moderately clear and lively","KH",4,5,5,4,2,2.5,2.5,2,2,2.5,2.5,2
217,1426,"12/05/2020 3:47","All/almost all of the time","All/almost all of the time","All/almost all of the time","Clear and lively","KH",2,4,4,2,1,2,2,1,1,2,2,1
218,5436,"12/05/2020 4:05","Sometimes","Sometimes","Sometimes","Moderately clear and lively","",9,5,5,5,9,5,5,5,9,5,5,5
219,894,"12/05/2020 4:20","Sometimes","Sometimes","About half the time","Moderately clear and lively","",2,2,2,3,2,2,2,3,2,2,2,3
220,786,"12/05/2020 4:46","About half the time","All/almost all of the time","Most of the time","Clear and lively","",3,2,2,4,3,2,2,4,3,2,2,4
221,4185,"12/05/2020 4:58","About half the time","About half the time","Sometimes","Clear and lively","",3,4,5,3,3,4,5,3,3,4,5,3
222,1221,"12/05/2020 5:05","Sometimes","Sometimes","Not at all","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
223,3230,"12/05/2020 5:06","Most of the time","All/almost all of the time","Most of the time","Perfectly clear and lively as real seeing","",0,0,0,0,0,0,0,0,0,0,0,0
224,2510,"12/05/2020 5:10","Sometimes","Not at all","Sometimes","Clear and lively","LL",3,3,2,2,1.5,1.5,1,1,1.5,1.5,1,1
225,941,"12/05/2020 5:15","About half the time","Sometimes","Not at all","Moderately clear and lively","",4,4,5,3,4,4,5,3,4,4,5,3
226,909,"12/05/2020 5:16","Not at all","Most of the time","Sometimes","Dim & vague, flat","",0,1,1,2,0,1,1,2,0,1,1,2
227,3464,"12/05/2020 5:29","Most of the time","All/almost all of the time","About half the time","Clear and lively","",3,4,3.5,5,3,4,3.5,5,3,4,3.5,5
228,941,"12/05/2020 5:42","Sometimes","About half the time","Most of the time","Moderately clear and lively","",4,3,2,3,4,3,2,3,4,3,2,3
229,821,"12/05/2020 5:47","Sometimes","Sometimes","Sometimes","Clear and lively","",3,3,2,3,3,3,2,3,3,3,2,3
230,1635,"12/05/2020 5:56","Sometimes","Most of the time","Most of the time","Moderately clear and lively","",4,3,2,3,4,3,2,3,4,3,2,3
231,2396,"12/05/2020 6:03","Most of the time","All/almost all of the time","About half the time","Perfectly clear and lively as real seeing","JL",2,3,4,3,1,1.5,2,1.5,1,1.5,2,1.5
232,1247,"12/05/2020 6:15","About half the time","Most of the time","Most of the time","Clear and lively","",5,4,4,3,5,4,4,3,5,4,4,3
233,2893,"12/05/2020 6:17","Not at all","Most of the time","Sometimes","Moderately clear and lively","",4,4,4,4,4,4,4,4,4,4,4,4
234,1299,"12/05/2020 6:24","About half the time","Most of the time","Most of the time","Perfectly clear and lively as real seeing","",2,2,2,2,2,2,2,2,2,2,2,2
235,921,"12/05/2020 6:37","All/almost all of the time","All/almost all of the time","All/almost all of the time","Perfectly clear and lively as real seeing","",0,0,0,0,0,0,0,0,0,0,0,0
236,1011,"12/05/2020 7:20","Not at all","Not at all","Not at all","","",0,0,0,0,0,0,0,0,0,0,0,0
237,4056,"12/05/2020 7:26","Sometimes","Not at all","About half the time","Clear and lively","",5,4,3,4,5,4,3,4,5,4,3,4
238,4732,"12/05/2020 8:41","All/almost all of the time","All/almost all of the time","Most of the time","Clear and lively","",6,4,3,4,6,4,3,4,6,4,3,4
239,57181,"12/05/2020 14:43","All/almost all of the time","All/almost all of the time","All/almost all of the time","Moderately clear and lively","",0,1,1,4,0,1,1,4,0,1,1,4
240,967,"12/05/2020 15:53","","","","","",0,0,0,0,0,0,0,0,0,0,0,0
241,1692,"12/05/2020 15:55","Sometimes","Most of the time","Most of the time","Moderately clear and lively","",3,3,3.5,3,3,3,3.5,3,3,3,3.5,3
242,826,"12/05/2020 16:09","Not at all","Sometimes","Sometimes","Dim & vague, flat","",2,3,3,3,2,3,3,3,2,3,3,3
243,499,"12/05/2020 16:10","All/almost all of the time","All/almost all of the time","Most of the time","No image at all, you only “know” that you are thinking of the object","",0,0,0,0,0,0,0,0,0,0,0,0
244,53385,"12/05/2020 16:12","Sometimes","Sometimes","About half the time","Moderately clear and lively","",4,4,4,3,4,4,4,3,4,4,4,3
245,952,"12/05/2020 16:24","Not at all","All/almost all of the time","Not at all","No image at all, you only “know” that you are thinking of the object","",3,3,4,3,3,3,4,3,3,3,4,3
246,2341,"12/05/2020 16:32","Most of the time","All/almost all of the time","Most of the time","Moderately clear and lively","",3,3,4,3,3,3,4,3,3,3,4,3
247,1765,"12/05/2020 16:35","Most of the time","About half the time","About half the time","Moderately clear and lively","",3,3,2,3,3,3,2,3,3,3,2,3
248,1040,"12/05/2020 16:44","Not at all","Sometimes","Most of the time","Moderately clear and lively","",3,2,2,3,3,2,2,3,3,2,2,3
249,1828,"12/05/2020 17:12","Sometimes","Sometimes","Sometimes","Dim & vague, flat","",1,4,3,3,1,4,3,3,1,4,3,3
250,1594,"12/05/2020 17:14","Most of the time","All/almost all of the time","Most of the time","Clear and lively","CP",8,6,8,6,4,3,4,3,4,3,4,3
251,777,"12/05/2020 17:15","Sometimes","Most of the time","Sometimes","Moderately clear and lively","",4,5,4,3,4,5,4,3,4,5,4,3
252,1214,"12/05/2020 17:17","About half the time","Most of the time","Most of the time","Moderately clear and lively","",2,3,3,3,2,3,3,3,2,3,3,3
253,964,"12/05/2020 17:22","Sometimes","All/almost all of the time","Most of the time","Clear and lively","",2,3,3,3,2,3,3,3,2,3,3,3
254,1950,"12/05/2020 17:28","All/almost all of the time","All/almost all of the time","Most of the time","Perfectly clear and lively as real seeing","",2,3,4,5,2,3,4,5,2,3,4,5
255,2437,"12/05/2020 17:29","Sometimes","Not at all","Most of the time","Clear and lively","",2,3,4,5,2,3,4,5,2,3,4,5
256,891,"12/05/2020 17:30","Not at all","All/almost all of the time","Sometimes","Clear and lively","",1,2,3,3,1,2,3,3,1,2,3,3
257,965,"12/05/2020 17:43","Not at all","Sometimes","Sometimes","Moderately clear and lively","",5,4,4,3,5,4,4,3,5,4,4,3
258,578,"12/05/2020 17:44","Not at all","Most of the time","Sometimes","No image at all, you only “know” that you are thinking of the object","",2,3,3,1,2,3,3,1,2,3,3,1
259,1680,"12/05/2020 17:52","Sometimes","Most of the time","All/almost all of the time","Clear and lively","",2,3,4,3,2,3,4,3,2,3,4,3
260,1574,"12/05/2020 18:02","Sometimes","Not at all","About half the time","Clear and lively","",2,3,2,3,2,3,2,3,2,3,2,3
261,625,"12/05/2020 18:04","Not at all","Most of the time","Most of the time","Clear and lively","",3,3,2,3,3,3,2,3,3,3,2,3
262,366,"12/05/2020 18:11","About half the time","About half the time","About half the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
263,4027,"12/05/2020 18:15","Not at all","About half the time","Sometimes","Moderately clear and lively","",0,3,0,3,0,3,0,3,0,3,0,3
264,1050,"12/05/2020 18:20","Sometimes","Not at all","Not at all","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
265,789,"12/05/2020 18:22","All/almost all of the time","All/almost all of the time","All/almost all of the time","Perfectly clear and lively as real seeing","",4,2,2,3,4,2,2,3,4,2,2,3
266,2819,"12/05/2020 18:41","Sometimes","About half the time","Sometimes","Dim & vague, flat","",3,3,4,3,3,3,4,3,3,3,4,3
267,5991,"12/05/2020 18:47","Sometimes","About half the time","About half the time","Moderately clear and lively","",2,4,4,3,2,4,4,3,2,4,4,3
268,1244,"12/05/2020 18:55","Not at all","About half the time","About half the time","Clear and lively","",1,2,3,4,1,2,3,4,1,2,3,4
269,956,"12/05/2020 18:56","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","",0,0,0,0,0,0,0,0,0,0,0,0
270,618,"12/05/2020 18:57","Not at all","Sometimes","Not at all","Perfectly clear and lively as real seeing","",1,2,2,3,1,2,2,3,1,2,2,3
271,5009,"12/05/2020 18:58","Not at all","About half the time","Sometimes","No image at all, you only “know” that you are thinking of the object","",3,3,3,3,3,3,3,3,3,3,3,3
272,1301,"12/05/2020 18:59","Not at all","About half the time","Sometimes","Moderately clear and lively","",2,2,2,3,2,2,2,3,2,2,2,3
273,339,"12/05/2020 19:05","Not at all","Not at all","Not at all","Perfectly clear and lively as real seeing","",0,1,1,1,0,1,1,1,0,1,1,1
274,1308,"12/05/2020 19:10","Sometimes","Most of the time","Most of the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
275,631,"12/05/2020 19:10","Not at all","Most of the time","Sometimes","Dim & vague, flat","",5,4,4,3,5,4,4,3,5,4,4,3
276,2538,"12/05/2020 19:18","Most of the time","Most of the time","About half the time","Clear and lively","",3,4,4,4,3,4,4,4,3,4,4,4
277,1007,"12/05/2020 19:21","Sometimes","About half the time","Most of the time","Clear and lively","",2,4,4,4,2,4,4,4,2,4,4,4
278,1177,"12/05/2020 19:37","Sometimes","Most of the time","Most of the time","Perfectly clear and lively as real seeing","",6,5,5,4,6,5,5,4,6,5,5,4
279,1382,"12/05/2020 19:40","About half the time","About half the time","About half the time","Clear and lively","",5,5,3,3,5,5,3,3,5,5,3,3
280,1336,"12/05/2020 19:40","About half the time","Sometimes","Most of the time","Moderately clear and lively","",1,5,5,5,1,5,5,5,1,5,5,5
281,1005,"12/05/2020 19:52","Sometimes","Sometimes","Sometimes","No image at all, you only “know” that you are thinking of the object","",1,1,2,2.5,1,1,2,2.5,1,1,2,2.5
282,731,"12/05/2020 19:57","Sometimes","Sometimes","Sometimes","Dim & vague, flat","AM",2,4,5,4,1,2,2.5,2,1,2,2.5,2
283,1242,"12/05/2020 19:59","All/almost all of the time","All/almost all of the time","All/almost all of the time","Clear and lively","",6,3,4,3,6,3,4,3,6,3,4,3
284,1345,"12/05/2020 20:02","Not at all","Most of the time","Most of the time","Moderately clear and lively","CP",6,4,3,6,3,2,1.5,3,3,2,1.5,3
285,1317,"12/05/2020 20:06","Not at all","Sometimes","Not at all","Perfectly clear and lively as real seeing","",2,3,3,4,2,3,3,4,2,3,3,4
286,1537,"12/05/2020 20:09","About half the time","All/almost all of the time","About half the time","Clear and lively","KH",2,3,3,3,1,1.5,1.5,1.5,1,1.5,1.5,1.5
287,911,"12/05/2020 20:09","About half the time","Sometimes","Sometimes","Moderately clear and lively","",3,1,1,3,3,1,1,3,3,1,1,3
288,2491,"12/05/2020 20:16","Most of the time","All/almost all of the time","All/almost all of the time","Perfectly clear and lively as real seeing","",6,3,4,2,6,3,4,2,6,3,4,2
289,1255,"12/05/2020 20:29","All/almost all of the time","All/almost all of the time","About half the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
290,1597,"12/05/2020 20:32","About half the time","Most of the time","About half the time","Perfectly clear and lively as real seeing","",4,3,2,3,4,3,2,3,4,3,2,3
291,638,"12/05/2020 20:36","Not at all","Not at all","About half the time","Dim & vague, flat","",5,4,3,2,5,4,3,2,5,4,3,2
292,4921,"12/05/2020 20:37","About half the time","Most of the time","About half the time","Clear and lively","KH",3,2,3,3,1.5,1,1.5,1.5,1.5,1,1.5,1.5
293,3030,"12/05/2020 20:47","Not at all","Not at all","About half the time","Moderately clear and lively","",2,2,2,3,2,2,2,3,2,2,2,3
294,2858,"12/05/2020 20:49","Most of the time","Most of the time","Most of the time","Clear and lively","",6,5,5,5,6,5,5,5,6,5,5,5
295,915,"12/05/2020 20:54","Sometimes","Most of the time","Sometimes","No image at all, you only “know” that you are thinking of the object","CP",1,2,2,3,0.5,1,1,1.5,0.5,1,1,1.5
296,986,"12/05/2020 21:24","Sometimes","Most of the time","About half the time","Clear and lively","",3,2,2,3,3,2,2,3,3,2,2,3
297,1016,"12/05/2020 21:26","Sometimes","Most of the time","Most of the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
298,2187,"12/05/2020 21:28","All/almost all of the time","Sometimes","Sometimes","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
299,676,"12/05/2020 21:39","Sometimes","Most of the time","All/almost all of the time","Dim & vague, flat","",1,1,1,3,1,1,1,3,1,1,1,3
300,2242,"12/05/2020 21:45","Most of the time","Most of the time","Most of the time","Clear and lively","KH",6,4,5,5,3,2,2.5,2.5,3,2,2.5,2.5
301,1921,"12/05/2020 21:52","Most of the time","Most of the time","Most of the time","Clear and lively","JL",4,3,4,3,2,1.5,2,1.5,2,1.5,2,1.5
302,3128,"12/05/2020 21:57","Sometimes","Sometimes","Sometimes","No image at all, you only “know” that you are thinking of the object","",7,4,2,4,7,4,2,4,7,4,2,4
303,1013,"12/05/2020 22:07","Sometimes","Most of the time","Most of the time","Clear and lively","",4,3,4,3,4,3,4,3,4,3,4,3
304,857,"12/05/2020 22:07","Most of the time","Most of the time","Most of the time","Clear and lively","",2,2,2,2,2,2,2,2,2,2,2,2
305,1316,"12/05/2020 22:16","Sometimes","Most of the time","About half the time","Clear and lively","",2,2,3,2,2,2,3,2,2,2,3,2
306,1053,"12/05/2020 22:19","About half the time","About half the time","About half the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
307,3144,"12/05/2020 22:28","Not at all","Not at all","Not at all","","",0,1,1,1,0,1,1,1,0,1,1,1
308,1162,"12/05/2020 22:28","Sometimes","Most of the time","Most of the time","Clear and lively","",4,4,4,5,4,4,4,5,4,4,4,5
309,1796,"12/05/2020 22:41","Not at all","Not at all","Sometimes","No image at all, you only “know” that you are thinking of the object","",2,2,2,3,2,2,2,3,2,2,2,3
310,1568,"12/05/2020 22:45","Most of the time","Sometimes","About half the time","Moderately clear and lively","",5,4,2,3,5,4,2,3,5,4,2,3
311,2882,"12/05/2020 22:45","Not at all","Not at all","Sometimes","Dim & vague, flat","",1,1,1,2,1,1,1,2,1,1,1,2
312,703,"12/05/2020 22:49","Sometimes","Sometimes","Most of the time","No image at all, you only “know” that you are thinking of the object","LL",1,3,1,3,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5
313,738,"12/05/2020 22:50","About half the time","Most of the time","Most of the time","Moderately clear and lively","",2,2,1,2,2,2,1,2,2,2,1,2
314,575,"12/05/2020 22:56","Not at all","","Sometimes","No image at all, you only “know” that you are thinking of the object","",3,5,5,5,3,5,5,5,3,5,5,5
315,1160,"12/05/2020 22:58","Most of the time","About half the time","Sometimes","Moderately clear and lively","LL",7,5,3,3,3.5,2.5,1.5,1.5,3.5,2.5,1.5,1.5
316,2274,"12/05/2020 23:07","All/almost all of the time","Not at all","Most of the time","Dim & vague, flat","JL",5,7,8,8,2.5,3.5,4,4,2.5,3.5,4,4
317,4854,"12/05/2020 23:41","About half the time","About half the time","About half the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
318,715,"12/05/2020 23:44","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","JS",2,2,2,3,1,1,1,1.5,1,1,1,1.5
319,1057,"12/05/2020 23:54","Sometimes","About half the time","Not at all","Clear and lively","JL",3,5,5,6,1.5,2.5,2.5,3,1.5,2.5,2.5,3
320,1444,"12/05/2020 23:56","Most of the time","All/almost all of the time","Sometimes","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
321,1082,"13/05/2020 0:02","Not at all","Sometimes","About half the time","Dim & vague, flat","",2,3,2,3,2,3,2,3,2,3,2,3
322,445,"13/05/2020 0:05","","","","","KH",0,0,0,0,0,0,0,0,0,0,0,0
323,922,"13/05/2020 0:08","Sometimes","Most of the time","Most of the time","Moderately clear and lively","",2,2,2,3,2,2,2,3,2,2,2,3
324,988,"13/05/2020 0:13","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","",1,2,1,2,1,2,1,2,1,2,1,2
325,1078,"13/05/2020 0:16","Most of the time","Most of the time","All/almost all of the time","Clear and lively","",4,3,2,3,4,3,2,3,4,3,2,3
326,741,"13/05/2020 0:19","Sometimes","Sometimes","Not at all","Dim & vague, flat","",2,2,2,4,2,2,2,4,2,2,2,4
327,812,"13/05/2020 0:23","Sometimes","About half the time","Sometimes","Moderately clear and lively","",1,3,3,3,1,3,3,3,1,3,3,3
328,1600,"13/05/2020 0:26","Sometimes","Most of the time","About half the time","Dim & vague, flat","",2,2,2,3,2,2,2,3,2,2,2,3
329,1684,"13/05/2020 0:30","Most of the time","Most of the time","Most of the time","Perfectly clear and lively as real seeing","",3,3,4,3,3,3,4,3,3,3,4,3
330,1340,"13/05/2020 0:31","Sometimes","Not at all","All/almost all of the time","No image at all, you only “know” that you are thinking of the object","",2,2,2,2,2,2,2,2,2,2,2,2
331,1520,"13/05/2020 0:38","About half the time","About half the time","About half the time","Moderately clear and lively","",3,4,3,4,3,4,3,4,3,4,3,4
332,2129,"13/05/2020 0:51","All/almost all of the time","All/almost all of the time","All/almost all of the time","Perfectly clear and lively as real seeing","LL",5,3,2,3,2.5,1.5,1,1.5,2.5,1.5,1,1.5
333,887,"13/05/2020 0:53","Most of the time","About half the time","About half the time","Clear and lively","",3,2,3,3,3,2,3,3,3,2,3,3
334,1143,"13/05/2020 0:53","Most of the time","About half the time","Most of the time","Moderately clear and lively","",3,4,4,3,3,4,4,3,3,4,4,3
335,6242,"13/05/2020 1:01","Not at all","Most of the time","Most of the time","No image at all, you only “know” that you are thinking of the object","",5,2,3,3,5,2,3,3,5,2,3,3
336,1460,"13/05/2020 1:01","Not at all","Sometimes","Sometimes","No image at all, you only “know” that you are thinking of the object","",5,2,3,2,5,2,3,2,5,2,3,2
337,1299,"13/05/2020 1:14","About half the time","Most of the time","Most of the time","Moderately clear and lively","",3,3,4,3,3,3,4,3,3,3,4,3
338,712,"13/05/2020 1:14","Most of the time","Most of the time","Most of the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
339,4603,"13/05/2020 1:15","Sometimes","About half the time","About half the time","Dim & vague, flat","",6,4,3,3,6,4,3,3,6,4,3,3
340,3102,"13/05/2020 1:17","Most of the time","About half the time","About half the time","Perfectly clear and lively as real seeing","JL",6,7,7,6,3,3.5,3.5,3,3,3.5,3.5,3
341,1393,"13/05/2020 1:27","Not at all","Sometimes","Sometimes","No image at all, you only “know” that you are thinking of the object","",4,4,4,3,4,4,4,3,4,4,4,3
342,2288,"13/05/2020 1:27","About half the time","About half the time","All/almost all of the time","Perfectly clear and lively as real seeing","",5,1,5,3,5,1,5,3,5,1,5,3
343,1289,"13/05/2020 1:30","Sometimes","Most of the time","Sometimes","Moderately clear and lively","",2,3,1,3,2,3,1,3,2,3,1,3
344,1058,"13/05/2020 1:30","About half the time","About half the time","About half the time","Moderately clear and lively","JL",11,9,8,6,5.5,4.5,4,3,5.5,4.5,4,3
345,1294,"13/05/2020 1:32","Sometimes","Sometimes","Sometimes","Clear and lively","",2,3,1,2,2,3,1,2,2,3,1,2
346,1533,"13/05/2020 1:37","Sometimes","Sometimes","Sometimes","Moderately clear and lively","",3,3,2,4,3,3,2,4,3,3,2,4
347,1960,"13/05/2020 1:40","Sometimes","Sometimes","Not at all","No image at all, you only “know” that you are thinking of the object","",0,0,0,0,0,0,0,0,0,0,0,0
348,1608,"13/05/2020 1:42","Most of the time","Most of the time","Most of the time","Moderately clear and lively","CP",6,4,3,6,3,2,1.5,3,3,2,1.5,3
349,1461,"13/05/2020 1:45","Sometimes","Sometimes","Sometimes","Moderately clear and lively","",5,4,2,4,5,4,2,4,5,4,2,4
350,3128,"13/05/2020 1:46","Sometimes","Most of the time","Sometimes","Clear and lively","",5,4,4,3,5,4,4,3,5,4,4,3
351,2984,"13/05/2020 1:50","Sometimes","Most of the time","Most of the time","Moderately clear and lively","",2,3,3,3,2,3,3,3,2,3,3,3
352,848,"13/05/2020 1:53","Most of the time","Most of the time","Most of the time","Clear and lively","KH",4,3,2,3,2,1.5,1,1.5,2,1.5,1,1.5
353,1129,"13/05/2020 2:05","Not at all","Sometimes","About half the time","Dim & vague, flat","KH",2,3,3,3,1,1.5,1.5,1.5,1,1.5,1.5,1.5
354,1251,"13/05/2020 2:07","Sometimes","Sometimes","Sometimes","Moderately clear and lively","",4,3,3,3,4,3,3,3,4,3,3,3
355,1438,"13/05/2020 2:08","Sometimes","Sometimes","Sometimes","Moderately clear and lively","",3,2,3,4,3,2,3,4,3,2,3,4
356,1132,"13/05/2020 2:09","Not at all","Sometimes","Sometimes","Moderately clear and lively","",4,4,4,3,4,4,4,3,4,4,4,3
357,1096,"13/05/2020 2:10","Sometimes","Sometimes","Sometimes","Perfectly clear and lively as real seeing","",3,4,4,4,3,4,4,4,3,4,4,4
358,621,"13/05/2020 2:14","About half the time","All/almost all of the time","Not at all","Moderately clear and lively","",2,3,4,3,2,3,4,3,2,3,4,3
359,1026,"13/05/2020 2:17","All/almost all of the time","All/almost all of the time","All/almost all of the time","Perfectly clear and lively as real seeing","",2,4,4,3,2,4,4,3,2,4,4,3
360,522,"13/05/2020 2:23","Not at all","Most of the time","Sometimes","No image at all, you only “know” that you are thinking of the object","",1,1,1,2,1,1,1,2,1,1,1,2
361,389,"13/05/2020 2:26","About half the time","About half the time","Most of the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
362,561,"13/05/2020 2:30","Sometimes","Sometimes","Sometimes","Clear and lively","",1,3,1,4,1,3,1,4,1,3,1,4
363,2515,"13/05/2020 2:32","Most of the time","All/almost all of the time","All/almost all of the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
364,541,"13/05/2020 2:35","Not at all","Not at all","Not at all","Dim & vague, flat","CP",0,0,0,0,0,0,0,0,0,0,0,0
365,1304,"13/05/2020 2:42","About half the time","Most of the time","Most of the time","Clear and lively","",1,3,1,3,1,3,1,3,1,3,1,3
366,16647,"13/05/2020 2:42","Not at all","About half the time","All/almost all of the time","Perfectly clear and lively as real seeing","",0,0,0,0,0,0,0,0,0,0,0,0
367,605,"13/05/2020 2:47","Not at all","Most of the time","Most of the time","Perfectly clear and lively as real seeing","",0,0,0,0,0,0,0,0,0,0,0,0
368,1189,"13/05/2020 2:48","Sometimes","Sometimes","Sometimes","Moderately clear and lively","",3,2,2,3,3,2,2,3,3,2,2,3
369,4814,"13/05/2020 2:53","Not at all","Not at all","Sometimes","No image at all, you only “know” that you are thinking of the object","",4,3,3,2,4,3,3,2,4,3,3,2
370,1241,"13/05/2020 2:53","About half the time","About half the time","Sometimes","Moderately clear and lively","",2,1,2,3,2,1,2,3,2,1,2,3
371,3352,"13/05/2020 2:54","Not at all","Sometimes","Sometimes","No image at all, you only “know” that you are thinking of the object","AM",5,2,3,3,2.5,1,1.5,1.5,2.5,1,1.5,1.5
372,1497,"13/05/2020 2:56","Sometimes","Sometimes","Sometimes","Clear and lively","KH",1,3,4,4,0.5,1.5,2,2,0.5,1.5,2,2
373,914,"13/05/2020 2:58","Not at all","Sometimes","Sometimes","Dim & vague, flat","",5,4,2,3,5,4,2,3,5,4,2,3
374,86,"13/05/2020 3:11","","","","","JS",0,0,0,0,0,0,0,0,0,0,0,0
375,1757,"13/05/2020 3:18","Sometimes","Not at all","All/almost all of the time","Perfectly clear and lively as real seeing","AM",4,3,6,3,2,1.5,3,1.5,2,1.5,3,1.5
376,774,"13/05/2020 3:21","About half the time","Sometimes","About half the time","Moderately clear and lively","CP",0,0,0,0,0,0,0,0,0,0,0,0
377,738,"13/05/2020 3:21","Sometimes","All/almost all of the time","All/almost all of the time","Moderately clear and lively","",3,2,2,3,3,2,2,3,3,2,2,3
378,897,"13/05/2020 3:22","Most of the time","Most of the time","Most of the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
379,920,"13/05/2020 3:31","Sometimes","Most of the time","Most of the time","Moderately clear and lively","JS",5,4,4,5,2.5,2,2,2.5,2.5,2,2,2.5
380,1169,"13/05/2020 3:32","Most of the time","Most of the time","Most of the time","Clear and lively","",3,4,4,3,3,4,4,3,3,4,4,3
381,4353,"13/05/2020 3:36","Most of the time","About half the time","All/almost all of the time","Perfectly clear and lively as real seeing","",0,0,0,0,0,0,0,0,0,0,0,0
382,2046,"13/05/2020 3:39","Sometimes","About half the time","Sometimes","Dim & vague, flat","",3,4,5,5,3,4,5,5,3,4,5,5
383,1427,"13/05/2020 3:40","Most of the time","All/almost all of the time","Most of the time","Clear and lively","",3,3,2,3,3,3,2,3,3,3,2,3
